candidate_id,age,years_of_experience,job_role,education,interview_platform,communication_score,vocabulary_richness,filler_words_per_min,confidence_score,eye_contact_score,posture,stress_level,avg_response_time,interview_duration,sentiment_score,performance_score,hiring_decision
CAND_5F82DC,31,11,Software Engineer,Bachelor's,Teams,58.26,0.816,6,100.0,78.58,Confident,14.26,4.2,43,0.182,66.57,Rejected
CAND_919399,27,3,UX Designer,Associate,Zoom,98.13,0.597,2,73.99,63.3,Neutral,24.22,4.58,62,0.542,90.8,Hired
CAND_BF1EB5,30,6,HR Manager,PhD,HireVue,52.45,0.659,12,81.27,82.19,Confident,39.0,5.4,35,0.294,61.07,On Hold
CAND_823AFC,20,0,Sales Executive,Master's,Teams,36.49,0.9,14,74.53,77.81,Neutral,38.66,4.97,58,0.173,51.63,Rejected
CAND_B6D89A,28,9,Software Engineer,PhD,Zoom,55.42,0.635,11,100.0,85.33,Confident,21.91,4.09,36,0.081,78.25,Hired
CAND_8B8149,27,3,Product Manager,Bachelor's,Zoom,55.43,0.497,7,100.0,87.6,Confident,10.08,7.35,36,0.528,70.41,Second Round
CAND_21747C,34,9,Data Scientist,Master's,HireVue,44.29,0.901,11,92.4,65.26,Confident,22.83,5.9,37,0.54,58.05,On Hold
CAND_AE89FC,38,17,UX Designer,Bachelor's,Zoom,75.88,0.695,4,79.04,,Neutral,24.52,4.07,38,0.281,68.41,Rejected
CAND_5C1698,20,0,Business Analyst,PhD,Teams,69.45,0.95,7,92.05,84.57,Confident,27.95,4.77,28,0.652,72.38,Rejected
CAND_77A706,22,0,Marketing Analyst,Associate,Teams,69.3,,9,73.24,67.53,Confident,47.45,5.89,37,0.525,64.9,Rejected
CAND_5DF143,27,8,Business Analyst,Bachelor's,Zoom,28.13,0.642,13,100.0,100.0,Confident,7.98,3.84,45,0.262,47.16,Rejected
CAND_70A128,23,5,Data Scientist,Bachelor's,Teams,55.09,0.517,8,94.99,75.46,Confident,7.88,3.91,38,0.28,66.87,Rejected
CAND_8EB09B,35,18,Business Analyst,Bachelor's,Teams,65.72,0.859,7,100.0,100.0,Confident,10.55,3.52,45,0.817,82.23,Hired
CAND_CA76B5,21,0,Marketing Analyst,Bachelor's,Google Meet,45.06,0.564,17,78.25,100.0,Neutral,20.07,4.52,47,0.33,56.39,Rejected
CAND_E48A56,34,13,Product Manager,PhD,Zoom,49.45,0.565,9,100.0,,Confident,7.72,3.99,69,0.293,63.54,Rejected
CAND_5EF4FA,34,12,Product Manager,PhD,Google Meet,39.91,0.503,11,82.2,81.98,Neutral,22.85,4.87,38,0.557,55.2,Rejected
CAND_4DE4D6,20,0,Business Analyst,Master's,Google Meet,63.75,0.943,10,56.59,45.37,Neutral,34.12,,44,0.385,65.28,Rejected
CAND_E29870,28,11,Software Engineer,Bachelor's,HireVue,62.62,0.358,12,100.0,94.98,Confident,20.1,4.59,33,0.782,78.46,Second Round
CAND_AD7B53,23,4,Business Analyst,Master's,Google Meet,39.67,0.401,14,82.68,78.62,Neutral,,5.33,51,0.41,58.41,On Hold
CAND_B68EFB,41,24,HR Manager,Bachelor's,Zoom,58.86,0.689,10,95.05,90.8,Confident,,4.18,43,0.456,68.72,Second Round
CAND_58915B,33,9,Product Manager,Bachelor's,Google Meet,39.72,0.688,11,100.0,94.33,Confident,16.37,3.73,52,0.562,57.96,Rejected
CAND_B39DF1,43,22,HR Manager,Master's,Zoom,56.14,0.667,5,100.0,87.82,Confident,17.26,4.17,52,0.343,69.86,Hired
CAND_9E4D27,20,1,Business Analyst,Master's,Teams,71.51,0.95,10,100.0,100.0,Confident,8.26,4.41,40,0.723,77.55,Hired
CAND_38A292,27,5,HR Manager,Master's,Teams,60.74,0.554,6,73.29,70.22,Neutral,24.03,4.15,50,0.528,60.05,Rejected
CAND_B4BBD0,25,4,Product Manager,Associate,Zoom,76.08,0.645,5,100.0,85.92,Confident,9.48,,59,0.324,87.2,Hired
CAND_F15333,30,9,HR Manager,Master's,Google Meet,58.39,,11,100.0,93.61,Confident,0.68,3.57,49,0.353,81.32,Second Round
CAND_87BCA8,37,20,Data Scientist,Associate,Zoom,59.57,0.493,7,100.0,76.17,Neutral,6.06,3.64,50,0.515,77.4,Rejected
CAND_B149EF,23,4,UX Designer,Associate,Google Meet,48.06,0.325,13,100.0,99.66,Confident,13.35,3.71,46,0.54,68.55,Hired
CAND_6F4626,33,8,UX Designer,Bachelor's,Teams,70.85,0.629,10,100.0,100.0,Confident,18.14,4.51,41,0.548,81.3,Hired
CAND_4198DD,40,21,Data Scientist,PhD,Google Meet,39.69,0.45,6,82.65,60.67,Confident,26.09,,60,0.399,54.77,Rejected
CAND_953233,21,0,Business Analyst,Bachelor's,Zoom,55.07,0.688,7,100.0,93.23,Confident,,4.48,56,0.405,70.83,Second Round
CAND_185765,38,14,Product Manager,PhD,Zoom,69.46,0.65,9,95.12,99.44,Confident,21.69,4.48,41,0.538,77.62,Second Round
CAND_3E0494,37,14,Business Analyst,Associate,Zoom,75.36,0.611,4,100.0,100.0,Confident,25.74,4.19,38,0.732,93.19,Hired
CAND_BD4535,35,10,UX Designer,PhD,Zoom,59.55,0.562,10,93.86,72.78,Neutral,17.9,3.87,52,0.019,69.99,Rejected
CAND_A0A369,28,6,UX Designer,PhD,HireVue,32.11,0.552,12,100.0,88.91,Confident,,3.3,29,0.341,52.29,On Hold
CAND_C24F89,25,2,Business Analyst,PhD,Zoom,50.42,0.277,8,100.0,58.79,Confident,11.32,4.28,51,0.356,66.98,Rejected
CAND_D44EDD,30,2,Marketing Analyst,Associate,Google Meet,58.23,0.728,15,100.0,100.0,Confident,19.49,4.36,32,0.757,62.43,Rejected
CAND_F2DB8B,23,0,Product Manager,Master's,HireVue,48.39,0.884,6,64.16,,Neutral,57.96,5.98,41,0.408,41.09,Rejected
CAND_92E8C1,33,12,Product Manager,PhD,HireVue,39.67,0.627,11,96.08,100.0,Confident,13.63,,36,0.264,59.96,Rejected
CAND_31F0F3,38,21,Marketing Analyst,PhD,Teams,,0.675,10,100.0,78.02,Confident,19.47,4.03,44,0.428,83.31,Hired
CAND_F65F45,51,28,Business Analyst,Associate,HireVue,58.1,0.549,11,86.89,100.0,Confident,35.08,5.99,40,0.967,58.53,Rejected
CAND_38369F,34,14,Sales Executive,Master's,Zoom,77.2,0.511,7,86.47,74.85,Neutral,13.72,4.12,45,0.172,85.07,Hired
CAND_B5C3B5,22,0,Business Analyst,Bachelor's,Teams,64.5,0.506,11,100.0,100.0,Confident,12.89,,33,0.502,77.27,Rejected
CAND_A392E8,20,0,UX Designer,Master's,Zoom,63.76,0.458,3,100.0,100.0,Confident,5.86,4.55,42,0.375,69.76,Hired
CAND_2F5FBE,29,12,Data Scientist,Associate,HireVue,82.6,0.401,2,100.0,91.6,Confident,9.74,3.84,51,0.693,92.64,Hired
CAND_AB81B4,25,2,UX Designer,Associate,HireVue,61.97,0.818,10,100.0,100.0,Neutral,17.09,4.04,46,0.755,73.46,Rejected
CAND_41DB63,20,0,Software Engineer,Bachelor's,HireVue,69.12,0.204,6,100.0,100.0,Confident,3.33,3.68,51,0.264,84.55,Hired
CAND_C8DF69,31,9,Sales Executive,Bachelor's,Teams,65.71,0.637,6,100.0,77.49,Confident,10.67,4.06,42,0.834,71.99,Rejected
CAND_AC1129,20,2,Sales Executive,Master's,HireVue,54.87,0.727,8,100.0,61.06,Confident,15.07,4.26,43,0.333,68.99,Hired
CAND_81C54C,26,5,Business Analyst,Associate,HireVue,37.56,0.669,11,95.94,,Confident,6.74,4.11,63,0.538,56.26,Rejected
CAND_B89116,20,0,Product Manager,Associate,HireVue,85.54,0.532,3,91.0,76.03,Confident,32.62,5.04,38,0.92,93.88,Hired
CAND_2822CE,20,0,Marketing Analyst,Associate,Teams,66.75,0.71,5,100.0,91.91,Confident,2.24,3.07,61,0.419,83.47,Hired
CAND_897AB3,20,0,Marketing Analyst,Master's,Google Meet,60.75,0.655,7,100.0,100.0,Confident,10.96,4.86,27,0.587,78.82,Hired
CAND_43B8AE,21,0,Data Scientist,Master's,Teams,61.15,0.428,14,100.0,100.0,Confident,10.38,3.77,50,0.38,71.53,Rejected
CAND_08A733,38,18,UX Designer,Bachelor's,HireVue,38.88,0.589,13,92.21,74.09,Confident,22.12,4.15,55,0.415,54.68,Rejected
CAND_619C94,29,8,HR Manager,Bachelor's,Teams,69.99,0.45,10,81.11,83.12,Neutral,34.38,5.58,51,0.404,63.47,Rejected
CAND_89A504,21,0,Software Engineer,Associate,HireVue,56.95,0.767,8,100.0,100.0,Confident,10.5,4.32,60,0.608,71.67,Second Round
CAND_EC1CDD,42,18,HR Manager,Master's,HireVue,151.0,0.855,0,100.0,88.5,Neutral,4.85,3.35,47,0.201,100.0,Hired
CAND_B015C5,20,0,Software Engineer,Associate,Google Meet,56.2,0.428,12,100.0,74.44,Confident,12.33,4.0,41,0.833,57.96,Rejected
CAND_677E62,20,0,Product Manager,Associate,Teams,,0.526,6,100.0,75.89,Confident,8.27,3.57,44,0.559,66.36,Second Round
CAND_3B46CD,33,7,HR Manager,Bachelor's,Zoom,55.75,0.733,12,80.43,49.0,Slouched,26.83,4.94,40,0.666,52.15,Rejected
CAND_48B912,24,0,Sales Executive,Master's,Zoom,57.32,0.444,10,100.0,99.88,Confident,20.17,4.69,45,0.596,55.4,Rejected
CAND_949AB0,33,12,UX Designer,Associate,Google Meet,83.02,0.43,5,100.0,67.58,Confident,19.64,4.01,42,0.695,80.34,Second Round
CAND_23AD69,38,22,Marketing Analyst,Associate,Google Meet,60.85,0.318,11,100.0,72.08,Confident,7.27,,45,0.321,69.57,Second Round
CAND_1153A5,32,15,Software Engineer,PhD,Teams,61.01,0.658,10,75.29,74.49,Neutral,55.78,6.05,43,0.445,58.89,Rejected
CAND_B2D03D,28,4,Software Engineer,Bachelor's,Teams,51.61,0.558,6,100.0,76.78,Confident,9.93,5.07,52,0.62,65.31,Rejected
CAND_568F58,32,11,Product Manager,Master's,Teams,47.71,0.647,11,97.97,69.97,Confident,29.24,4.86,36,0.538,56.28,On Hold
CAND_4E73B4,22,4,UX Designer,Associate,Google Meet,,0.755,10,100.0,100.0,Confident,12.63,4.59,35,0.195,81.34,Hired
CAND_F7C66A,20,1,Data Scientist,Master's,Google Meet,61.36,0.556,10,100.0,89.29,Confident,11.14,5.1,55,0.297,63.59,Rejected
CAND_2C4A2B,31,12,Marketing Analyst,Associate,HireVue,53.05,0.604,17,92.22,65.42,Confident,,4.51,55,0.891,70.29,Hired
CAND_B7DF51,27,6,Data Scientist,Master's,Zoom,,0.728,12,85.01,90.76,Confident,34.34,5.71,49,0.339,67.42,Hired
CAND_47E5F4,28,4,Data Scientist,Bachelor's,Google Meet,58.97,0.646,5,93.3,55.38,Confident,,5.16,34,0.154,63.78,Rejected
CAND_2B1893,20,0,Business Analyst,Bachelor's,Google Meet,,0.642,7,100.0,68.65,Neutral,11.64,5.35,56,0.123,82.25,Rejected
CAND_F8F30D,20,0,Data Scientist,Associate,Google Meet,115.13,0.755,5,85.27,71.36,Confident,,4.5,24,0.552,84.92,Second Round
CAND_81E54D,33,10,Product Manager,Associate,Teams,47.9,0.667,6,100.0,92.09,Confident,11.56,4.34,50,0.394,57.15,Rejected
CAND_E57952,28,2,Marketing Analyst,Associate,HireVue,58.46,0.561,8,100.0,40.54,Confident,15.54,5.28,41,0.379,74.68,Rejected
CAND_04012B,43,16,Marketing Analyst,PhD,Teams,54.8,0.637,9,60.25,55.46,Neutral,68.93,8.1,46,0.321,47.05,Rejected
CAND_4C6CC0,37,15,Sales Executive,Master's,HireVue,50.29,,8,76.4,63.37,Confident,19.48,4.85,43,0.304,58.78,On Hold
CAND_6FC109,27,6,Business Analyst,Bachelor's,HireVue,57.81,0.458,10,100.0,100.0,Confident,8.85,4.42,28,0.849,60.11,Rejected
CAND_4963E4,31,14,UX Designer,PhD,Google Meet,52.65,0.567,7,100.0,77.77,Confident,16.9,,50,0.672,63.12,Rejected
CAND_CBFE7A,20,0,Marketing Analyst,Bachelor's,Teams,71.88,0.275,6,82.1,82.04,Confident,34.65,5.05,56,0.434,62.9,Rejected
CAND_58CC9C,27,5,Sales Executive,Master's,HireVue,55.88,0.549,10,52.29,60.05,Slouched,58.51,6.01,27,0.534,58.04,Rejected
CAND_4B76B5,25,3,Software Engineer,Bachelor's,Google Meet,88.16,0.602,13,100.0,94.93,Confident,14.36,4.11,56,0.185,95.29,Hired
CAND_EF751C,36,18,Marketing Analyst,PhD,HireVue,,0.796,10,56.95,57.12,Neutral,47.44,5.43,42,0.264,56.75,Rejected
CAND_0C1043,32,11,HR Manager,PhD,Google Meet,57.74,0.579,4,91.84,83.17,Confident,26.5,4.87,39,0.648,69.85,Second Round
CAND_0E8352,20,1,Marketing Analyst,Master's,Zoom,48.51,0.511,16,76.3,60.29,Confident,13.72,4.18,38,0.631,49.34,Rejected
CAND_35AA3B,33,8,Data Scientist,Master's,Teams,60.64,0.855,4,79.07,82.2,Neutral,,4.32,39,0.327,76.93,Second Round
CAND_8F18A0,20,0,Marketing Analyst,Bachelor's,Teams,81.54,0.539,9,100.0,100.0,Confident,17.13,4.04,53,0.642,88.14,Hired
CAND_648CD6,44,19,Marketing Analyst,Bachelor's,Teams,59.04,0.442,7,57.6,64.8,Neutral,60.37,6.33,24,0.651,50.96,Rejected
CAND_89DE9A,45,17,Marketing Analyst,Master's,HireVue,85.74,0.574,10,100.0,69.52,Confident,5.53,4.57,32,0.654,74.92,Hired
CAND_91B1E6,35,9,Marketing Analyst,Associate,HireVue,59.18,0.604,10,91.24,77.39,Confident,15.21,5.15,48,0.44,64.59,On Hold
CAND_FFF573,32,13,Software Engineer,PhD,HireVue,41.51,0.68,11,59.06,57.93,Confident,44.4,5.55,49,0.572,43.4,Rejected
CAND_A8575B,48,29,HR Manager,Associate,Zoom,65.36,0.6,11,100.0,100.0,Confident,10.98,3.65,57,0.382,68.94,Hired
CAND_36CCF1,28,4,Product Manager,Master's,Google Meet,70.81,0.603,10,100.0,97.21,Confident,24.26,4.26,59,0.395,96.47,Hired
CAND_99C0C0,47,28,HR Manager,Master's,HireVue,58.36,0.754,8,72.79,55.6,Neutral,40.74,5.71,44,0.456,57.47,Rejected
CAND_DF6056,51,30,Marketing Analyst,Associate,Google Meet,65.95,0.671,7,75.06,,Confident,37.14,5.1,42,0.465,72.88,Second Round
CAND_C98CCA,40,18,Data Scientist,Master's,Teams,84.4,0.686,8,99.34,,Confident,14.03,3.77,43,0.529,80.77,Hired
CAND_4776BD,38,14,Product Manager,Master's,Teams,62.48,0.424,7,78.99,65.24,Confident,,4.65,44,0.535,67.78,Hired
CAND_39A215,39,21,Software Engineer,Associate,HireVue,70.87,0.21,4,80.7,59.32,Confident,42.54,5.38,51,0.522,80.9,Hired
CAND_6F60E7,34,10,Software Engineer,Master's,Google Meet,23.74,0.689,11,100.0,80.03,Confident,16.26,4.47,48,0.381,43.95,Rejected
CAND_7A222C,33,8,Sales Executive,Bachelor's,Teams,59.67,0.557,13,95.47,61.92,Confident,3.19,,28,1.0,77.43,Rejected
CAND_F9EFC4,44,17,UX Designer,Associate,Zoom,39.17,0.618,9,100.0,73.96,Confident,6.5,5.71,50,0.513,48.05,Rejected
CAND_6B46D3,42,18,Product Manager,PhD,Teams,60.88,0.724,7,94.49,,Confident,23.54,4.13,58,0.355,76.42,Rejected
CAND_CD26C9,35,11,Marketing Analyst,PhD,HireVue,47.69,0.668,7,100.0,69.61,Confident,20.49,5.01,36,0.5,53.42,Rejected
CAND_D89F25,33,8,Marketing Analyst,Associate,Google Meet,66.74,0.843,8,90.86,77.91,Confident,21.32,4.71,41,0.619,74.9,Rejected
CAND_B4A6EE,32,10,Sales Executive,Bachelor's,Zoom,58.93,0.535,11,100.0,100.0,Confident,8.39,4.26,43,0.575,71.04,Second Round
CAND_8AD4D4,39,16,Marketing Analyst,Bachelor's,Zoom,53.27,0.541,15,100.0,100.0,Confident,16.41,5.39,35,0.386,64.69,Rejected
CAND_5B7D13,32,3,Software Engineer,PhD,Zoom,61.86,0.576,8,89.22,88.5,Confident,21.38,6.06,28,0.78,65.81,Rejected
CAND_EEB795,20,0,Sales Executive,PhD,Teams,,0.702,7,90.61,79.59,Confident,19.47,4.07,32,0.53,50.62,Rejected
CAND_864833,45,21,Sales Executive,Bachelor's,HireVue,70.87,0.604,8,100.0,,Confident,18.56,4.19,55,0.545,73.19,Second Round
CAND_8C60B8,20,0,Business Analyst,Bachelor's,Teams,62.14,0.551,6,100.0,75.51,Confident,2.6,3.75,60,0.597,75.34,Second Round
CAND_C2862B,25,0,Sales Executive,PhD,HireVue,75.6,0.602,6,70.14,58.1,Neutral,52.24,6.26,44,0.423,70.52,Rejected
CAND_110F68,38,11,Sales Executive,Bachelor's,Google Meet,37.83,0.54,12,80.69,63.7,Neutral,,4.71,61,0.306,53.32,Rejected
CAND_CE5591,40,14,HR Manager,Bachelor's,HireVue,70.51,0.577,5,100.0,83.31,Confident,9.67,5.27,46,0.499,88.3,Hired
CAND_CE11A1,37,15,Business Analyst,Associate,HireVue,37.96,0.571,10,100.0,50.47,Confident,13.52,4.71,51,0.487,60.13,Rejected
CAND_FE1D5C,25,2,Marketing Analyst,Master's,Google Meet,89.91,0.459,7,85.04,53.59,Confident,29.52,5.29,54,0.702,84.16,Hired
CAND_8110AD,37,16,Sales Executive,Bachelor's,Zoom,62.81,0.626,11,100.0,79.25,Neutral,14.58,4.81,50,0.576,80.66,Rejected
CAND_781CD1,29,6,UX Designer,Master's,Google Meet,81.52,0.628,8,78.45,100.0,Confident,34.96,5.44,59,0.427,68.94,Rejected
CAND_D97D50,20,0,Data Scientist,Master's,Zoom,51.67,0.614,11,85.85,76.81,Neutral,24.41,4.61,45,0.737,63.9,Rejected
CAND_9163D7,23,0,Product Manager,Associate,Google Meet,39.35,0.509,11,65.54,72.88,Neutral,44.94,5.2,44,0.524,44.55,Rejected
CAND_47B507,32,13,HR Manager,Associate,HireVue,49.9,0.749,11,94.57,68.71,Neutral,21.93,4.58,54,0.824,76.01,Second Round
CAND_561EED,40,13,Product Manager,Associate,Teams,70.85,0.519,11,100.0,73.54,Confident,7.81,5.14,50,0.653,71.6,Rejected
CAND_577189,27,5,Product Manager,Bachelor's,Google Meet,62.56,0.524,14,86.42,87.04,Neutral,20.25,4.55,29,0.747,66.1,Rejected
CAND_7A50A8,39,14,Business Analyst,PhD,Zoom,71.87,0.37,6,82.21,75.76,Neutral,17.95,,61,0.268,68.36,Second Round
CAND_09BA40,30,0,Sales Executive,Master's,HireVue,88.1,0.673,8,100.0,91.55,Confident,,4.1,50,0.488,89.42,Hired
CAND_CE24C6,27,4,Business Analyst,Associate,HireVue,,0.493,10,98.34,86.77,Confident,23.46,6.3,43,0.306,71.99,Second Round
CAND_F62B5C,30,9,UX Designer,Associate,Teams,18.9,0.544,22,100.0,77.84,Neutral,9.29,4.04,42,0.171,37.32,Rejected
CAND_7A496C,27,5,Business Analyst,Associate,HireVue,40.66,,13,100.0,68.83,Confident,15.47,4.25,47,0.898,49.79,Rejected
CAND_F03ECF,23,0,Product Manager,Associate,Zoom,42.34,0.827,14,68.88,52.58,Neutral,36.74,,20,0.715,51.48,Rejected
CAND_89D733,23,0,Business Analyst,Bachelor's,HireVue,43.56,0.465,15,72.53,40.63,Neutral,41.97,5.74,54,0.35,52.45,Rejected
CAND_1C8571,20,0,Software Engineer,Master's,HireVue,63.16,0.607,7,100.0,87.5,Confident,9.25,3.81,39,0.335,67.11,Second Round
CAND_331DA0,25,0,Data Scientist,Associate,Google Meet,47.53,0.59,7,85.76,100.0,Confident,18.35,4.47,58,0.273,52.84,Rejected
CAND_BF7D9B,37,13,Data Scientist,PhD,HireVue,56.57,0.332,13,100.0,95.84,Confident,4.25,3.67,45,0.534,63.56,Rejected
CAND_C28857,26,4,Sales Executive,Bachelor's,Zoom,66.8,0.667,6,99.12,69.72,Confident,10.74,4.42,21,0.152,86.16,Hired
CAND_062EF0,25,1,Marketing Analyst,Master's,Zoom,66.72,0.385,11,100.0,98.77,Confident,8.55,4.12,43,0.716,85.4,Hired
CAND_2CFA64,31,10,Data Scientist,Associate,Teams,66.04,0.308,9,94.6,86.89,Confident,10.27,3.34,47,0.57,71.52,Hired
CAND_318168,34,14,Software Engineer,PhD,Zoom,38.6,0.486,12,100.0,81.09,Confident,11.92,4.26,57,0.596,60.7,Rejected
CAND_14CB3E,25,0,HR Manager,Master's,Teams,72.96,,10,100.0,100.0,Neutral,16.7,4.3,45,0.628,75.93,Second Round
CAND_E562AA,30,12,Product Manager,Master's,Teams,64.32,0.701,10,100.0,86.15,Confident,25.43,4.91,51,0.183,78.01,Rejected
CAND_2D1FCB,32,7,UX Designer,Associate,Teams,,0.761,13,100.0,65.02,Confident,19.6,4.24,46,0.736,56.66,Rejected
CAND_BCC97A,28,8,Marketing Analyst,Associate,Google Meet,66.18,0.892,9,89.11,100.0,Confident,34.22,,44,0.582,74.36,Rejected
CAND_2D9C7B,36,12,Sales Executive,PhD,Teams,50.82,0.416,11,100.0,68.81,Confident,3.55,4.19,47,0.35,58.32,Rejected
CAND_365F0B,25,3,Marketing Analyst,Associate,Google Meet,55.08,0.274,12,83.65,62.1,Confident,22.84,4.65,42,0.353,67.23,Second Round
CAND_6754E3,43,19,HR Manager,Associate,Zoom,59.33,0.538,11,100.0,63.64,Confident,,3.73,72,0.211,64.72,Rejected
CAND_D4B82E,32,9,Marketing Analyst,PhD,Zoom,92.48,0.684,3,100.0,77.56,Confident,22.72,4.2,46,0.318,91.16,Hired
CAND_66B09F,35,15,HR Manager,PhD,Zoom,85.98,0.729,6,76.77,58.81,Neutral,36.5,4.85,32,0.55,79.3,Rejected
